Marque,Modèle
HUSQVARNA,TC 85 (> 80 CC)
HUSQVARNA,TE 150 (> 80 CC)
HUSQVARNA,TE 300/ TE 300I (> 80 CC)
HYOSUNG,125 Comet/GTR (> 80 CC)
HYOSUNG,125 GV Classic (> 80 CC)
HYOSUNG,125 RT (Karion) (> 80 CC)
HYOSUNG,650 GT R/S Comet/GV Aquila/ GT (> 80 CC)
HYOSUNG,Aquila GV 125 S Bobber (> 80 CC)
ICONE,Twin custom 125 (> 80 CC)
INDIAN,1133 Scout (> 80 CC)
INDIAN,1133 SCOUT BOBBER/ SCOUT ROGUE (> 80 CC)
INDIAN,1768 CHALENGER LIMITED (> 80 CC)
INDIAN,1768 CHALLENGER DARK HORSE (> 80 CC)
INDIAN,1800 Chief Dark Horse / vintage/cheiftain (> 80 CC)
INDIAN,1800 Roadmaster (> 80 CC)
INDIAN,1800 Springfield (> 80 CC)
INDIAN,1890 CHIEFTAIN DARK HORSE (> 80 CC)
INDIAN,1890 ROADMASTER DARK HORSE (> 80 CC)
INDIAN,1890 SPORT CHIEF (> 80 CC)
ITALJET,200 DRAGSTER (> 80 CC)
IVA,50 VENTI (<= 50 CC)
KAWASAKI,1000 Versys /SE (> 80 CC)
KAWASAKI,110 KLX/ KLX 110R/ KLX 110R L (> 80 CC)
KAWASAKI,125 Ninja/Z (> 80 CC)
KAWASAKI,1400 ZZR / GTR (> 80 CC)
KAWASAKI,1400 ZZR Performance Sport (> 80 CC)
KAWASAKI,250 KX/ KXF (> 80 CC)
KAWASAKI,300 J (> 80 CC)
KAWASAKI,450 KX/ KXF (> 80 CC)
KAWASAKI,450 NINJA ZX-4R (> 80 CC)
KAWASAKI,65 KX (> 80 CC)
KAWASAKI,85KX (> 80 CC)
KAWASAKI,ER 650/6N/6F (> 80 CC)
KAWASAKI,H2 /carbon 1000cc (> 80 CC)
KAWASAKI,H2 SX / SE 1000cc (> 80 CC)
KAWASAKI,H2R 1000cc (> 80 CC)
KAWASAKI,KL650/R (> 80 CC)
KAWASAKI,KLX140/R/L/F (> 80 CC)
KAWASAKI,Ninja 400/Z (> 80 CC)
KAWASAKI,NINJA 650/VERSYS/VERSYS LT/VULCAN/S/EX650/EN650 (> 80 CC)
KAWASAKI,Versys X 300/300 Ninja (> 80 CC)
KAWASAKI,VULCAN 1700/VOYAGER (> 80 CC)
KAWASAKI,VULCAN CLASSIC 900/ VN / SE (> 80 CC)
KAWASAKI,W800 Cafe (> 80 CC)
KAWASAKI,W800 Street (> 80 CC)
KAWASAKI,Z1000 /R/SX (> 80 CC)
KAWASAKI,Z650 (> 80 CC)
KAWASAKI,Z750/ ZR750/ZR750 ABS (> 80 CC)
KAWASAKI,Z800/ZR800 (> 80 CC)
KAWASAKI,Z900 RS (> 80 CC)
KAWASAKI,ZR900/FULL/Z900 (> 80 CC)
KAWASAKI,ZX10R /SE/RR/ 1000CC/ZX100 (> 80 CC)
KAWASAKI,ZX6R 600/ZX636 (> 80 CC)
KEEWAY,F-Act City/ F-Act Evo/ F-Act Naked/ ;ccia/ Matrix 50/ A;ra (<= 50 CC)
KEEWAY,Flash 50 / RY6 (<= 50 CC)
KEEWAY,Focus 50 (<= 50 CC)
KEEWAY,Hurricane / milan (<= 50 CC)
KEEWAY,TX 50 (<= 50 CC)
KEEWAY,K-light 125 (> 80 CC)
KEEWAY,RKF 125 (> 80 CC)
KEEWAY,RKV 125 (> 80 CC)
KEEWAY,Superlight CBS 125 (> 80 CC)
KOVE,450 RALLY STANDARD (> 80 CC)
KOVE,800 X ADVENTURE/ ADVENTURE PRO (> 80 CC)
KTM,50 SX (<= 50 CC)
KTM,1090 Adventure / R (> 80 CC)
KTM,1190 Adventure (> 80 CC)
KTM,1190 Adventure R (> 80 CC)
KTM,125 Duke /RC (> 80 CC)
KTM,125 SX (> 80 CC)
KTM,1290 Super Adventure R /S (> 80 CC)
KTM,1290 Super Duke GT/GT (> 80 CC)
KTM,1290 Super Duke R/R (> 80 CC)
KTM,1390 SUPERDUKE-R (> 80 CC)
KTM,250 EXC-F/ EXC-F SIX DAYS (> 80 CC)
KTM,250 SX/SX-F (> 80 CC)
KTM,300 EXC TPI (> 80 CC)
KTM,350 EXC (> 80 CC)
KTM,350 EXC-F (> 80 CC)
KTM,350 SX-F (> 80 CC)
KTM,390 ADVENTURE (> 80 CC)
KTM,390 ADVENTURE SPOKE WHEELS (SW) (> 80 CC)
KTM,390 Duke / RC (> 80 CC)
KTM,450 EXC-F/SIX DAYS (> 80 CC)
KTM,450 SX-F FACTORY EDITION (> 80 CC)
KTM,500 EXC-F/ SIX DAYS (> 80 CC)
KTM,690 Duke (> 80 CC)
KTM,690 Enduro-R/SMC R (> 80 CC)
KTM,790 Adventure / R (> 80 CC)
KTM,790 Duke / L (> 80 CC)
KTM,85 SX (> 80 CC)
KTM,890 ADVENTURE/ ADVENTURE R (> 80 CC)
KTM,890 DUKE /DUKE GP/ DUKE R (> 80 CC)
KTM,890 SMT (> 80 CC)
KYMCO,50 DINK/ GRAND DINK (<= 50 CC)
KYMCO,Agility 50 12p / FR / MMC 10P (<= 50 CC)
KYMCO,AGILITY 50 16+ (<= 50 CC)
KYMCO,Agility 50 City / RS / Rs Naked / carry / Renouvo (<= 50 CC)
KYMCO,K-PW (<= 50 CC)
KYMCO,Like / Like LX (<= 50 CC)
KYMCO,NEW PEOPLE S 50 (<= 50 CC)
KYMCO,People 50 (<= 50 CC)
